radius,bw,k_local,k_season,tau_days,eligible,nights_scored,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,selection_score
2000,2.0,2,20,240.0,98,29,84.0,112.38775510204081,13,0.1326530612244898,33,0.336734693877551,56,0.5714285714285714,63,0.6428571428571429,3.209863945578231
1000,1.5,2,5,120.0,98,29,84.0,110.77551020408163,16,0.16326530612244897,31,0.3163265306122449,53,0.5408163265306123,63,0.6428571428571429,3.209863945578231
1000,1.5,2,10,120.0,98,29,84.0,110.77551020408163,16,0.16326530612244897,31,0.3163265306122449,53,0.5408163265306123,63,0.6428571428571429,3.209863945578231
1000,1.5,2,20,120.0,98,29,84.0,111.38775510204081,16,0.16326530612244897,31,0.3163265306122449,53,0.5408163265306123,63,0.6428571428571429,3.209863945578231
2000,2.0,5,5,,98,29,87.0,111.65306122448979,16,0.16326530612244897,31,0.3163265306122449,53,0.5408163265306123,63,0.6428571428571429,3.2056972789115648
1000,2.0,5,5,,98,29,92.0,109.73469387755102,19,0.19387755102040816,30,0.30612244897959184,49,0.5,62,0.6326530612244898,3.19875283446712
1000,1.5,10,5,240.0,98,29,90.5,107.71428571428571,20,0.20408163265306123,28,0.2857142857142857,49,0.5,63,0.6428571428571429,3.1906320861678004
1000,2.0,5,20,,98,29,94.5,110.65306122448979,19,0.19387755102040816,31,0.3163265306122449,48,0.4897959183673469,60,0.6122448979591837,3.185076530612245
2000,2.0,5,10,,98,29,87.0,112.26530612244898,16,0.16326530612244897,31,0.3163265306122449,52,0.5306122448979592,62,0.6326530612244898,3.175085034013606
1000,1.5,10,5,,98,29,87.0,108.3061224489796,19,0.19387755102040816,27,0.2755102040816326,51,0.5204081632653061,64,0.6530612244897959,3.1750850340136054
2000,1.5,10,10,120.0,98,29,88.5,111.40816326530613,16,0.16326530612244897,32,0.32653061224489793,50,0.5102040816326531,63,0.6428571428571429,3.1730017006802718
2000,2.0,2,5,240.0,98,29,84.0,112.6938775510204,12,0.12244897959183673,33,0.336734693877551,56,0.5714285714285714,63,0.6428571428571429,3.169047619047619
1000,2.0,5,10,,98,29,94.5,110.04081632653062,19,0.19387755102040816,30,0.30612244897959184,48,0.4897959183673469,61,0.6224489795918368,3.1646683673469385
1000,1.5,10,5,120.0,98,29,95.0,107.24489795918367,20,0.20408163265306123,28,0.2857142857142857,48,0.4897959183673469,63,0.6428571428571429,3.163973922902494
2000,2.0,10,10,,98,29,97.0,112.73469387755102,17,0.17346938775510204,33,0.336734693877551,47,0.47959183673469385,62,0.6326530612244898,3.161196145124716
2000,2.0,5,20,,98,29,87.0,112.87755102040816,16,0.16326530612244897,31,0.3163265306122449,51,0.5204081632653061,62,0.6326530612244898,3.1546768707482995
2000,2.0,10,5,,98,29,95.0,112.63265306122449,17,0.17346938775510204,32,0.32653061224489793,48,0.4897959183673469,62,0.6326530612244898,3.153769841269841
2000,1.5,5,20,120.0,98,29,88.0,114.63265306122449,14,0.14285714285714285,34,0.3469387755102041,51,0.5204081632653061,61,0.6224489795918368,3.1532879818594104
3000,1.0,10,5,240.0,98,29,88.5,117.26530612244898,15,0.15306122448979592,33,0.336734693877551,50,0.5102040816326531,62,0.6326530612244898,3.152593537414966
2000,1.5,10,10,240.0,98,29,92.5,113.53061224489795,17,0.17346938775510204,31,0.3163265306122449,49,0.5,62,0.6326530612244898,3.1470379818594103
2000,1.5,5,5,240.0,98,29,88.0,115.24489795918367,14,0.14285714285714285,34,0.3469387755102041,51,0.5204081632653061,60,0.6122448979591837,3.1430839002267574
2000,1.5,5,10,240.0,98,29,88.0,115.85714285714286,14,0.14285714285714285,34,0.3469387755102041,51,0.5204081632653061,60,0.6122448979591837,3.1430839002267574
3000,1.0,10,10,240.0,98,29,88.5,117.57142857142857,15,0.15306122448979592,33,0.336734693877551,50,0.5102040816326531,61,0.6224489795918368,3.142389455782313
3000,1.0,10,20,240.0,98,29,88.5,117.57142857142857,15,0.15306122448979592,33,0.336734693877551,50,0.5102040816326531,61,0.6224489795918368,3.142389455782313
2000,2.0,10,20,,98,29,98.0,113.14285714285714,18,0.1836734693877551,33,0.336734693877551,44,0.4489795918367347,62,0.6326530612244898,3.1393990929705216
1000,1.5,10,10,120.0,98,29,95.0,107.85714285714286,20,0.20408163265306123,27,0.2755102040816326,48,0.4897959183673469,63,0.6428571428571429,3.1333616780045346
2000,1.5,10,5,,98,29,95.5,114.44897959183673,17,0.17346938775510204,32,0.32653061224489793,48,0.4897959183673469,60,0.6122448979591837,3.132667233560091
1000,1.5,10,10,240.0,98,29,90.5,108.63265306122449,20,0.20408163265306123,26,0.2653061224489796,49,0.5,63,0.6428571428571429,3.129407596371882
2000,1.5,10,5,120.0,98,29,87.0,111.9795918367347,16,0.16326530612244897,30,0.30612244897959184,51,0.5204081632653061,62,0.6326530612244898,3.1240646258503406
2000,2.0,2,5,,98,29,87.0,114.63265306122449,13,0.1326530612244898,32,0.32653061224489793,54,0.5510204081632653,62,0.6326530612244898,3.12406462585034
2000,2.0,2,10,,98,29,87.0,114.63265306122449,13,0.1326530612244898,32,0.32653061224489793,54,0.5510204081632653,62,0.6326530612244898,3.12406462585034
2000,2.0,2,20,,98,29,87.0,115.24489795918367,13,0.1326530612244898,32,0.32653061224489793,54,0.5510204081632653,62,0.6326530612244898,3.12406462585034
3000,1.0,2,5,120.0,98,29,86.0,117.36734693877551,12,0.12244897959183673,35,0.35714285714285715,51,0.5204081632653061,62,0.6326530612244898,3.115249433106576
3000,1.0,2,10,120.0,98,29,86.0,117.36734693877551,12,0.12244897959183673,35,0.35714285714285715,51,0.5204081632653061,62,0.6326530612244898,3.115249433106576
3000,1.0,2,20,120.0,98,29,86.0,117.36734693877551,12,0.12244897959183673,35,0.35714285714285715,51,0.5204081632653061,62,0.6326530612244898,3.115249433106576
