family,params,eligible,nights,median_error_min,mean_error_min,within_30m_hits,within_30m_rate,within_60m_hits,within_60m_rate,within_90m_hits,within_90m_rate,within_120m_hits,within_120m_rate,score
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 45, ""env_scale"": 0.75}",98,29,70.5,96.95918367346938,17,0.17346938775510204,41,0.41836734693877553,60,0.6122448979591837,74,0.7551020408163265,3.830654761904762
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 45, ""env_scale"": 1.0}",98,29,73.0,98.63265306122449,16,0.16326530612244897,41,0.41836734693877553,57,0.5816326530612245,68,0.6938775510204082,3.6639172335600905
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 45, ""env_scale"": 1.5}",98,29,79.0,103.6938775510204,16,0.16326530612244897,32,0.32653061224489793,54,0.5510204081632653,64,0.6530612244897959,3.278032879818594
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 45, ""env_scale"": 2.0}",98,29,73.0,99.18367346938776,20,0.20408163265306123,35,0.35714285714285715,58,0.5918367346938775,67,0.6836734693877551,3.6537131519274375
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 60, ""env_scale"": 0.75}",98,29,73.0,99.61224489795919,17,0.17346938775510204,40,0.40816326530612246,58,0.5918367346938775,71,0.7244897959183674,3.725141723356009
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 60, ""env_scale"": 1.0}",98,29,73.0,100.6734693877551,16,0.16326530612244897,40,0.40816326530612246,56,0.5714285714285714,66,0.673469387755102,3.5924886621315193
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 60, ""env_scale"": 1.5}",98,29,77.5,103.9795918367347,17,0.17346938775510204,33,0.336734693877551,55,0.5612244897959183,64,0.6530612244897959,3.3719529478458043
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 60, ""env_scale"": 2.0}",98,29,75.0,101.61224489795919,19,0.19387755102040816,32,0.32653061224489793,57,0.5816326530612245,67,0.6836734693877551,3.497874149659864
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 90, ""env_scale"": 0.75}",98,29,70.5,96.95918367346938,18,0.1836734693877551,41,0.41836734693877553,59,0.6020408163265306,72,0.7346938775510204,3.830654761904762
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 90, ""env_scale"": 1.0}",98,29,73.0,99.44897959183673,16,0.16326530612244897,40,0.40816326530612246,57,0.5816326530612245,67,0.6836734693877551,3.623100907029478
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 90, ""env_scale"": 1.5}",98,29,79.0,105.51020408163265,16,0.16326530612244897,31,0.3163265306122449,55,0.5612244897959183,64,0.6530612244897959,3.2678287981859406
recency_season_weather,"{""tau_days"": 120, ""season_bw"": 90, ""env_scale"": 2.0}",98,29,72.5,102.08163265306122,18,0.1836734693877551,33,0.336734693877551,57,0.5816326530612245,67,0.6836734693877551,3.4911422902494325
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 30, ""env_scale"": 0.75}",98,29,73.0,97.26530612244898,16,0.16326530612244897,39,0.3979591836734694,60,0.6122448979591837,74,0.7551020408163265,3.7251417233560087
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 30, ""env_scale"": 1.0}",98,29,73.0,98.93877551020408,16,0.16326530612244897,40,0.40816326530612246,56,0.5714285714285714,68,0.6938775510204082,3.612896825396825
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 30, ""env_scale"": 1.5}",98,29,76.5,100.12244897959184,17,0.17346938775510204,34,0.3469387755102041,56,0.5714285714285714,66,0.673469387755102,3.444770408163265
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 30, ""env_scale"": 2.0}",98,29,73.0,97.91836734693878,21,0.21428571428571427,35,0.35714285714285715,58,0.5918367346938775,68,0.6938775510204082,3.7047335600907028
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 45, ""env_scale"": 0.75}",98,29,73.0,99.61224489795919,17,0.17346938775510204,40,0.40816326530612246,58,0.5918367346938775,71,0.7244897959183674,3.725141723356009
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 45, ""env_scale"": 1.0}",98,29,73.0,98.63265306122449,16,0.16326530612244897,41,0.41836734693877553,57,0.5816326530612245,68,0.6938775510204082,3.6639172335600905
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 45, ""env_scale"": 1.5}",98,29,77.5,103.6734693877551,17,0.17346938775510204,34,0.3469387755102041,55,0.5612244897959183,64,0.6530612244897959,3.4025651927437637
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 45, ""env_scale"": 2.0}",98,29,75.0,101.3265306122449,19,0.19387755102040816,32,0.32653061224489793,57,0.5816326530612245,67,0.6836734693877551,3.497874149659864
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 60, ""env_scale"": 0.75}",98,29,70.5,96.95918367346938,18,0.1836734693877551,41,0.41836734693877553,59,0.6020408163265306,72,0.7346938775510204,3.830654761904762
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 60, ""env_scale"": 1.0}",98,29,73.0,99.44897959183673,16,0.16326530612244897,40,0.40816326530612246,57,0.5816326530612245,67,0.6836734693877551,3.623100907029478
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 60, ""env_scale"": 1.5}",98,29,79.0,105.51020408163265,16,0.16326530612244897,31,0.3163265306122449,55,0.5612244897959183,64,0.6530612244897959,3.2678287981859406
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 60, ""env_scale"": 2.0}",98,29,75.0,102.38775510204081,18,0.1836734693877551,32,0.32653061224489793,57,0.5816326530612245,67,0.6836734693877551,3.457057823129252
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 90, ""env_scale"": 0.75}",98,29,74.0,100.0204081632653,18,0.1836734693877551,40,0.40816326530612246,55,0.5612244897959183,71,0.7244897959183674,3.703344671201814
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 90, ""env_scale"": 1.0}",98,29,73.0,100.36734693877551,16,0.16326530612244897,40,0.40816326530612246,57,0.5816326530612245,67,0.6836734693877551,3.623100907029478
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 90, ""env_scale"": 1.5}",98,29,78.5,105.81632653061224,16,0.16326530612244897,32,0.32653061224489793,55,0.5612244897959183,64,0.6530612244897959,3.299135487528344
recency_season_weather,"{""tau_days"": 180, ""season_bw"": 90, ""env_scale"": 2.0}",98,29,75.0,104.53061224489795,17,0.17346938775510204,32,0.32653061224489793,56,0.5714285714285714,66,0.673469387755102,3.3856292517006805
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 30, ""env_scale"": 0.75}",98,29,70.5,96.65306122448979,16,0.16326530612244897,41,0.41836734693877553,60,0.6122448979591837,74,0.7551020408163265,3.789838435374149
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 30, ""env_scale"": 1.0}",98,29,73.0,98.63265306122449,16,0.16326530612244897,41,0.41836734693877553,56,0.5714285714285714,68,0.6938775510204082,3.6435090702947845
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 30, ""env_scale"": 1.5}",98,29,74.5,100.12244897959184,17,0.17346938775510204,34,0.3469387755102041,57,0.5816326530612245,66,0.673469387755102,3.467956349206349
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 30, ""env_scale"": 2.0}",98,29,73.0,97.91836734693878,21,0.21428571428571427,35,0.35714285714285715,58,0.5918367346938775,68,0.6938775510204082,3.7047335600907028
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 45, ""env_scale"": 0.75}",98,29,73.0,99.61224489795919,17,0.17346938775510204,40,0.40816326530612246,58,0.5918367346938775,71,0.7244897959183674,3.725141723356009
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 45, ""env_scale"": 1.0}",98,29,73.0,100.9795918367347,16,0.16326530612244897,40,0.40816326530612246,55,0.5612244897959183,66,0.673469387755102,3.5720804988662134
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 45, ""env_scale"": 1.5}",98,29,77.5,103.36734693877551,17,0.17346938775510204,34,0.3469387755102041,55,0.5612244897959183,64,0.6530612244897959,3.4025651927437637
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 45, ""env_scale"": 2.0}",98,29,75.0,101.77551020408163,18,0.1836734693877551,32,0.32653061224489793,57,0.5816326530612245,67,0.6836734693877551,3.457057823129252
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 60, ""env_scale"": 0.75}",98,29,70.5,96.95918367346938,18,0.1836734693877551,41,0.41836734693877553,59,0.6020408163265306,72,0.7346938775510204,3.830654761904762
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 60, ""env_scale"": 1.0}",98,29,73.0,99.75510204081633,16,0.16326530612244897,40,0.40816326530612246,57,0.5816326530612245,67,0.6836734693877551,3.623100907029478
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 60, ""env_scale"": 1.5}",98,29,79.0,105.51020408163265,16,0.16326530612244897,31,0.3163265306122449,55,0.5612244897959183,64,0.6530612244897959,3.2678287981859406
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 60, ""env_scale"": 2.0}",98,29,72.5,102.08163265306122,18,0.1836734693877551,33,0.336734693877551,57,0.5816326530612245,67,0.6836734693877551,3.4911422902494325
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 90, ""env_scale"": 0.75}",98,29,74.0,100.0204081632653,18,0.1836734693877551,40,0.40816326530612246,55,0.5612244897959183,71,0.7244897959183674,3.703344671201814
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 90, ""env_scale"": 1.0}",98,29,67.0,98.0204081632653,17,0.17346938775510204,42,0.42857142857142855,56,0.5714285714285714,68,0.6938775510204082,3.723270975056689
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 90, ""env_scale"": 1.5}",98,29,78.5,106.12244897959184,16,0.16326530612244897,31,0.3163265306122449,55,0.5612244897959183,64,0.6530612244897959,3.2685232426303847
recency_season_weather,"{""tau_days"": 240, ""season_bw"": 90, ""env_scale"": 2.0}",98,29,75.0,104.83673469387755,17,0.17346938775510204,31,0.3163265306122449,56,0.5714285714285714,66,0.673469387755102,3.355017006802721
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 30, ""env_scale"": 0.75}",98,29,70.5,97.26530612244898,16,0.16326530612244897,41,0.41836734693877553,60,0.6122448979591837,74,0.7551020408163265,3.789838435374149
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 30, ""env_scale"": 1.0}",98,29,73.0,98.63265306122449,16,0.16326530612244897,41,0.41836734693877553,56,0.5714285714285714,68,0.6938775510204082,3.6435090702947845
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 30, ""env_scale"": 1.5}",98,29,74.5,100.42857142857143,17,0.17346938775510204,34,0.3469387755102041,57,0.5816326530612245,66,0.673469387755102,3.467956349206349
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 30, ""env_scale"": 2.0}",98,29,73.0,97.0,23,0.23469387755102042,36,0.3673469387755102,58,0.5918367346938775,68,0.6938775510204082,3.8169784580498867
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 45, ""env_scale"": 0.75}",98,29,70.5,96.85714285714286,18,0.1836734693877551,41,0.41836734693877553,59,0.6020408163265306,72,0.7346938775510204,3.830654761904762
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 45, ""env_scale"": 1.0}",98,29,73.0,99.75510204081633,16,0.16326530612244897,40,0.40816326530612246,56,0.5714285714285714,67,0.6836734693877551,3.6026927437641723
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 45, ""env_scale"": 1.5}",98,29,77.5,103.6734693877551,17,0.17346938775510204,34,0.3469387755102041,55,0.5612244897959183,64,0.6530612244897959,3.4025651927437637
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 45, ""env_scale"": 2.0}",98,29,75.0,101.77551020408163,18,0.1836734693877551,32,0.32653061224489793,57,0.5816326530612245,67,0.6836734693877551,3.457057823129252
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 60, ""env_scale"": 0.75}",98,29,70.5,96.95918367346938,18,0.1836734693877551,41,0.41836734693877553,59,0.6020408163265306,72,0.7346938775510204,3.830654761904762
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 60, ""env_scale"": 1.0}",98,29,73.0,99.75510204081633,16,0.16326530612244897,40,0.40816326530612246,57,0.5816326530612245,67,0.6836734693877551,3.623100907029478
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 60, ""env_scale"": 1.5}",98,29,78.5,105.20408163265306,16,0.16326530612244897,32,0.32653061224489793,55,0.5612244897959183,64,0.6530612244897959,3.299135487528344
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 60, ""env_scale"": 2.0}",98,29,75.0,104.53061224489795,18,0.1836734693877551,31,0.3163265306122449,56,0.5714285714285714,66,0.673469387755102,3.3958333333333335
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 90, ""env_scale"": 0.75}",98,29,74.0,100.0204081632653,18,0.1836734693877551,40,0.40816326530612246,55,0.5612244897959183,71,0.7244897959183674,3.703344671201814
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 90, ""env_scale"": 1.0}",98,29,70.5,100.16326530612245,17,0.17346938775510204,41,0.41836734693877553,55,0.5612244897959183,67,0.6836734693877551,3.6571853741496594
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 90, ""env_scale"": 1.5}",98,29,81.0,107.85714285714286,17,0.17346938775510204,31,0.3163265306122449,54,0.5510204081632653,63,0.6428571428571429,3.2752551020408163
recency_season_weather,"{""tau_days"": 365, ""season_bw"": 90, ""env_scale"": 2.0}",98,29,72.5,104.0,17,0.17346938775510204,33,0.336734693877551,57,0.5816326530612245,66,0.673469387755102,3.4401218820861676
season_weather_weak_age,"{""tau_days"": 730, ""season_bw"": 30, ""env_scale"": 0.75}",98,29,70.5,96.95918367346938,17,0.17346938775510204,41,0.41836734693877553,60,0.6122448979591837,74,0.7551020408163265,3.830654761904762
