night,capture_count,positive,multi2,multi3,multi5,sin_month,cos_month,sin_doy,cos_doy,prior_mean_count,prior30_mean_count,prior14_mean_count,prior30_active_nights,prior14_active_nights,temp_mean,temp_min,humidity_mean,dewpoint_mean,precip_sum,pressure_mean,cloud_mean,weather_max
2026-05-19,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.6819721490904629,-0.7313781428679254,1.5,1.4444444444444444,1.4,9,5,22.4,21.9,98.0,22.076923076923077,2.3000000000000003,1007.0538461538462,83.38461538461539,61
2026-05-21,2,1,1,0,0,0.49999999999999994,-0.8660254037844387,0.6564105761979381,-0.7544038410927472,1.4,1.25,1.3333333333333333,8,6,23.676923076923078,22.9,95.07692307692308,22.823076923076922,13.999999999999998,1008.6846153846155,98.15384615384616,61
2026-05-23,3,1,1,1,0,0.49999999999999994,-0.8660254037844387,0.6300720909843687,-0.7765366444428655,1.4,1.3333333333333333,1.6666666666666667,9,6,23.361538461538466,23.0,96.53846153846153,22.76923076923077,3.1,1008.053846153846,89.92307692307692,61
2026-05-24,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.6166212130956382,-0.7872599821916922,1.5,1.5,1.8571428571428572,10,7,23.730769230769226,23.1,96.53846153846153,23.16153846153846,0.5,1008.876923076923,83.3076923076923,51
2026-05-27,1,1,0,0,0,0.49999999999999994,-0.8660254037844387,0.5751899607119775,-0.8180198708443175,1.5,1.4545454545454546,2.0,11,7,24.446153846153848,23.9,99.0,24.27692307692308,12.0,1004.2153846153846,87.76923076923077,63
2026-05-29,3,1,1,1,0,0.49999999999999994,-0.8660254037844387,0.5467112728685939,-0.8373211953118121,1.5,1.4166666666666667,1.8571428571428572,12,7,21.200000000000003,19.7,86.6923076923077,18.86153846153846,0.0,1007.1538461538462,0.6153846153846154,0
2026-06-04,5,1,1,1,1,1.2246467991473532e-16,-1.0,0.4575313760742512,-0.8891934772070711,1.8,1.6363636363636365,2.0,11,5,24.784615384615385,23.5,96.46153846153847,24.16153846153846,7.700000000000001,1004.2846153846153,95.3076923076923,61
2026-06-06,4,1,1,1,0,1.2246467991473532e-16,-1.0,0.42667408318992467,-0.9044054548343001,2.3,1.9166666666666667,2.6,12,5,24.26153846153846,23.7,98.0,23.9,28.6,1004.4000000000001,100.0,63
2026-06-10,5,1,1,1,1,1.2246467991473532e-16,-1.0,0.36348161248290634,-0.9316013725767187,2.5,2.4545454545454546,3.25,11,4,21.069230769230767,19.9,97.15384615384616,20.592307692307692,6.8,1007.876923076923,100.0,61
2026-06-12,3,1,1,1,0,1.2246467991473532e-16,-1.0,0.3312212278016865,-0.9435531242349544,2.8,2.6666666666666665,4.25,12,4,21.746153846153845,20.7,84.92307692307692,19.076923076923073,0.5,1012.4153846153846,99.6923076923077,51
2026-06-13,3,1,1,1,0,1.2246467991473532e-16,-1.0,0.31494162072895193,-0.9491110448902284,2.8,2.75,4.25,12,4,21.76923076923077,21.2,82.92307692307692,18.661538461538463,0.8,1008.4153846153846,90.6923076923077,51
2026-06-16,1,1,0,0,0,1.2246467991473532e-16,-1.0,0.26556302780405594,-0.9640935007889755,3.0,2.8333333333333335,4.0,12,5,23.44615384615384,22.8,97.76923076923077,23.084615384615386,48.5,1011.0692307692306,100.0,65
2026-06-17,3,1,1,1,0,1.2246467991473532e-16,-1.0,0.24893980855376657,-0.9685189578512204,2.9,2.6923076923076925,3.5,13,6,23.515384615384612,22.9,97.92307692307692,23.161538461538463,20.8,1011.7846153846154,99.84615384615384,63
2026-06-18,4,1,1,1,0,1.2246467991473532e-16,-1.0,0.23224292400907015,-0.9726578145718654,2.9,2.6923076923076925,3.4285714285714284,13,7,25.100000000000005,24.5,96.15384615384616,24.43076923076923,0.0,1011.0,96.38461538461539,3
2026-06-20,4,1,1,1,0,1.2246467991473532e-16,-1.0,0.19864794288017112,-0.9800709131432666,3.2,2.923076923076923,3.2857142857142856,13,7,25.276923076923076,24.7,96.92307692307692,24.715384615384615,0.3,1009.6615384615385,44.15384615384615,51
2026-06-22,6,1,1,1,1,1.2246467991473532e-16,-1.0,0.16481784665719793,-0.9863240225317866,3.5,3.076923076923077,3.2857142857142856,13,7,25.0,24.1,93.23076923076923,23.815384615384616,0.0,1005.5846153846153,63.61538461538461,3
2026-06-23,5,1,1,1,1,1.2246467991473532e-16,-1.0,0.14782713347053048,-0.9890132145779883,3.8,3.3076923076923075,3.625,13,8,26.523076923076925,25.8,94.76923076923077,25.600000000000005,1.5999999999999999,1005.6692307692308,86.76923076923077,51
2026-06-24,3,1,1,1,0,1.2246467991473532e-16,-1.0,0.13079267585675922,-0.9914097417023038,3.8,3.6153846153846154,3.7777777777777777,13,9,26.99230769230769,26.6,90.6923076923077,25.323076923076925,0.4,1004.8692307692307,65.0,51
2026-06-28,10,1,1,1,1,1.2246467991473532e-16,-1.0,0.062318379354325076,-0.998056320853012,3.7,3.769230769230769,3.7142857142857144,13,7,24.83076923076923,24.3,97.15384615384616,24.369230769230775,3.9,1009.3461538461537,99.76923076923077,55
2026-06-30,4,1,1,1,0,1.2246467991473532e-16,-1.0,0.02795029824021032,-0.999609314096404,4.2,4.3076923076923075,4.5,13,8,25.87692307692308,25.5,93.07692307692308,24.692307692307693,0.0,1011.1538461538462,78.6923076923077,3
