radius_m,bandwidth_h,local_weight,min_local,tau_days,eligible,nights_scored,median_absolute_error_minutes,mean_absolute_error_minutes,within_30m_hits,within_30m_rate,within_30m_wilson95,within_60m_hits,within_60m_rate,within_60m_wilson95,within_90m_hits,within_90m_rate,within_90m_wilson95,selection_score
3000,2.0,0.8,1,,98,29,91.5,112.22448979591837,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6507440476190478
3000,2.0,0.8,2,,98,29,91.5,112.53061224489795,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6507440476190478
3000,2.0,0.8,3,,98,29,91.5,112.53061224489795,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6507440476190478
500,1.5,0.95,1,90.0,98,29,96.0,107.24489795918367,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",45,0.45918367346938777,"[0.36392528815047387, 0.5575213505511963]",1.6476190476190475
500,1.5,0.95,3,90.0,98,29,100.5,111.85714285714286,20,0.20408163265306123,"[0.1361759801787412, 0.29431215040836667]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",42,0.42857142857142855,"[0.3351141839487037, 0.5274174337792189]",1.6444940476190475
1000,1.5,0.95,1,90.0,98,29,86.0,110.63265306122449,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",53,0.5408163265306123,"[0.4424786494488038, 0.6360747118495262]",1.6443594104308392
500,2.0,0.99,1,180.0,98,29,96.5,111.38775510204081,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",31,0.3163265306122449,"[0.23266923518824523, 0.41384063896927004]",48,0.4897959183673469,"[0.3930904002751632, 0.5872712594002543]",1.6370677437641725
500,2.0,0.8,1,180.0,98,29,98.0,110.91836734693878,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",33,0.336734693877551,"[0.25089992900091485, 0.4348866258057654]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.6360260770975057
500,1.5,0.8,3,90.0,98,29,98.5,111.3061224489796,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",46,0.46938775510204084,"[0.37360789598305366, 0.567477083043199]",1.6356788548752834
3000,1.5,0.95,1,180.0,98,29,86.0,113.61224489795919,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",34,0.3469387755102041,"[0.26008447663750445, 0.44534041849375827]",53,0.5408163265306123,"[0.4424786494488038, 0.6360747118495262]",1.634155328798186
1500,2.0,0.99,2,90.0,98,29,86.5,112.22448979591837,18,0.1836734693877551,"[0.11945967624196774, 0.2717517736959752]",30,0.30612244897959184,"[0.22362525822357754, 0.4032462756093553]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.633808106575964
500,2.0,0.8,1,,98,29,96.5,111.3265306122449,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",34,0.3469387755102041,"[0.26008447663750445, 0.44534041849375827]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.6268636621315193
1000,1.5,0.8,3,90.0,98,29,97.0,113.81632653061224,19,0.19387755102040816,"[0.12777973480910126, 0.2830700554534241]",31,0.3163265306122449,"[0.23266923518824523, 0.41384063896927004]",47,0.47959183673469385,"[0.38332963929572583, 0.5773936800551093]",1.626516439909297
3000,1.5,0.95,2,180.0,98,29,86.0,114.22448979591837,15,0.15306122448979592,"[0.0950059903962593, 0.23729043856793613]",34,0.3469387755102041,"[0.26008447663750445, 0.44534041849375827]",52,0.5306122448979592,"[0.43252291695680106, 0.6263921040169464]",1.6239512471655329
1000,2.0,0.95,1,180.0,98,29,88.0,110.65306122448979,17,0.17346938775510204,"[0.11122039941721075, 0.26035271019614964]",32,0.32653061224489793,"[0.2417611712469177, 0.42438704323518]",50,0.5102040816326531,"[0.41272874059974574, 0.6069095997248368]",1.622562358276644
2000,1.5,0.95,1,90.0,98,29,88.0,112.18367346938776,14,0.14285714285714285,"[0.0870439104644005, 0.2256141781752124]",36,0.3673469387755102,"[0.27858728951874556, 0.46611428626168216]",51,0.5204081632653061,"[0.42260631994489084, 0.6166703607042743]",1.622562358276644
