canonical_id,timestamp,individual_count,lat,lon,segment_id,event_match_distance_m,positive_learning_rows,nearest_visit_delta_s,audit_status
131,2026-06-23 23:25:00+09:00,1,28.16584876439437,129.3823566850042,OSM_ro364_0_3,3.644849627495046,1,0.0,ok
132,2026-06-24 01:11:00+09:00,1,28.19567866839056,129.3889395217803,OSM_ro48_0_39,0.9554229158212988,1,0.0,ok
133,2026-06-24 02:06:00+09:00,1,28.14553937831397,129.3561064617445,OSM_ro480_0_94,3.0353773971020814,1,0.0,ok
135,2026-06-25 02:13:00+09:00,1,28.16842835247162,129.2990395428087,OSM_ro877_0_13,1.934127553296949,1,0.0,ok
136,2026-06-25 03:49:00+09:00,1,28.18574505717029,129.3781365414964,OSM_ro527_0_44,12.187548049572712,1,0.0,ok
137,2026-06-25 04:02:00+09:00,1,28.19609570773468,129.3944510684983,OSM_ro137_0_33,0.38281304195079996,1,0.0,ok
138,2026-06-28 20:52:00+09:00,1,28.15344954231803,129.3550759393625,OSM_ro221_0_25,1.6573812867872226,1,0.0,ok
139,2026-06-28 23:20:00+09:00,1,28.19715389518834,129.3920683210058,OSM_ro137_0_62,2.5209731599020984,1,0.0,ok
140,2026-06-29 00:29:00+09:00,1,28.16866549347142,129.298740815148,OSM_ro877_0_9,1.4993196629236993,1,0.0,ok
141,2026-06-29 00:35:00+09:00,1,28.16823218020444,129.2992006057215,OSM_ro877_0_16,3.2370940484162176,1,0.0,ok
142,2026-06-29 00:55:00+09:00,1,28.17847837643566,129.294484580859,OSM_ro780_0_28,2.7330903401907207,1,0.0,ok
143,2026-06-29 00:59:00+09:00,1,28.18310196728697,129.2912455169497,OSM_ro445_0_55,2.934700765305358,1,0.0,ok
144,2026-06-29 01:03:00+09:00,1,28.1871381,129.2899606,OSM_ro553_0_26,1.2612981782006667,1,0.0,ok
145,2026-06-29 01:06:00+09:00,1,28.18992631927429,129.2889411187035,OSM_ro916_0_175,0.5557756213182943,1,0.0,ok
146,2026-06-29 01:08:00+09:00,1,28.19125577436695,129.2867709427453,OSM_ro916_0_148,1.138361130384794,1,0.0,ok
147,2026-06-29 01:19:00+09:00,1,28.2074421711138,129.2870818751339,OSM_ro86_0_218,3.0831933845261728,1,0.0,ok
148,2026-07-02 01:13:00+09:00,1,28.16914697101083,129.2981699225058,OSM_ro879_0_4,2.637694882150521,1,0.0,ok
149,2026-07-02 01:27:00+09:00,1,28.17026099799323,129.3026083530053,GPXROAD_90b0ecfe5fbc_27,1.138374300843428,1,0.0,ok
150,2026-07-02 02:57:00+09:00,1,28.16762134901077,129.299651133017,OSM_ro878_0_1,1.6003427926449525,1,0.0,ok
151,2026-07-02 03:38:00+09:00,1,28.17024911756457,129.3778680359287,OSM_ro961_0_14,4.925188850312511,1,0.0,ok
152,2026-07-09 00:17:00+09:00,1,28.19658353137286,129.3898140908931,OSM_ro48_0_26,2.4607629461525793,1,0.0,ok
153,2026-07-09 00:37:00+09:00,1,28.19224888404072,129.4002792489228,OSM_ro338_0_10,11.426320012937952,1,0.0,ok
154,2026-07-09 23:21:00+09:00,1,28.1685860641563,129.2987968494457,OSM_ro877_0_10,3.067809106264909,1,0.0,ok
155,2026-07-09 23:30:00+09:00,1,28.16770936383171,129.2998235502162,OSM_ro877_0_25,0.6123688410032231,1,0.0,ok
156,2026-07-11 00:43:00+09:00,1,28.20006802146683,129.2810707256324,OSM_ro916_0_22,3.2216617424686422,1,0.0,ok
157,2026-07-11 01:05:00+09:00,1,28.16839105335002,129.2990509549036,OSM_ro877_0_14,0.511079791764034,1,0.0,ok
158,2026-07-17 00:35:00+09:00,1,28.17359078481381,129.3990048656001,OSM_ro249_0_28,7.327885054597923,1,0.0,ok
159,2026-07-17 02:34:00+09:00,1,28.16312291236065,129.289543924127,OSM_ro438_0_3,5.906450750651384,1,0.0,ok
160,2026-07-17 02:59:00+09:00,1,28.16894206540402,129.2994006170226,OSM_ro880_0_3,8.115629296855742,1,0.0,ok
161,2026-07-17 21:53:00+09:00,1,28.13983225979327,129.3487588891908,OSM_ro136_0_266,1.5803302047421053,1,0.0,ok
162,2026-07-17 23:12:00+09:00,1,28.19385485854366,129.3874647745032,OSM_ro48_0_65,10.332501398283535,1,0.0,ok
163,2026-07-17 23:24:00+09:00,1,28.19222821338526,129.3999697276595,OSM_ro338_0_7,0.46080250372469217,1,0.0,ok
164,2026-07-20 22:25:00+09:00,1,,,,,0,,missing_gps
165,2026-07-20 23:01:00+09:00,1,28.19282543288856,129.3991281208487,OSM_ro94_0_0,8.048552700525502,1,0.0,ok
166,2026-07-20 23:53:00+09:00,1,28.17454929787473,129.3991290641916,OSM_ro249_0_13,0.18667649179026646,1,0.0,ok
167,2026-07-23 05:23:00+09:00,1,28.16773010420442,129.2999220361275,OSM_ro877_0_26,1.469209320645923,1,0.0,ok
168,2026-07-25 02:51:00+09:00,1,28.17397677319794,129.3945766400743,OSM_ro289_0_57,0.34691508736134796,1,0.0,ok
169,2026-07-25 03:00:00+09:00,1,28.17496580962809,129.3981404242313,OSM_ro249_0_2,2.4981294242215317,1,0.0,ok
170,2026-07-25 03:25:00+09:00,1,28.16423132197319,129.3934770519625,OSM_ro42_0_33,12.819239113912115,1,0.0,ok
171,2026-07-25 03:41:00+09:00,1,28.16556573623879,129.3862833831791,OSM_ro364_0_43,1.8639530876690058,1,0.0,ok
172,2026-07-26 00:25:00+09:00,1,28.13981345194561,129.3487861600131,OSM_ro136_0_267,1.5759572448827435,1,0.0,ok
173,2026-07-26 02:14:00+09:00,1,28.18714869520803,129.3986695806539,OSM_ro191_0_64,1.7655353442233925,1,0.0,ok
174,2026-07-26 02:41:00+09:00,1,28.17448958751632,129.3954232655023,OSM_ro289_0_38,3.624473207288246,1,0.0,ok
175,2026-07-26 03:36:00+09:00,1,28.165363004519,129.3833373649567,OSM_ro364_0_14,0.20242735428238368,1,0.0,ok
176,2026-07-26 03:48:00+09:00,1,28.17087632246033,129.3796340395819,OSM_ro132_0_12,1.3306060138730773,1,0.0,ok
177,2026-07-27 00:00:00+09:00,1,28.16499690121304,129.39467622539,OSM_ro42_0_49,2.392972206550472,1,0.0,ok
178,2026-07-27 00:21:00+09:00,1,28.17247413050168,129.3983310399779,OSM_ro249_0_43,4.442931247496597,1,0.0,ok
179,2026-07-31 00:51:00+09:00,1,28.16438135624919,129.3910046679597,OSM_ro440_0_101,5.608740560807985,1,0.0,ok
180,2026-07-31 01:58:00+09:00,1,28.18330149104042,129.3963251425054,OSM_ro280_0_53,9.53548109213941,1,0.0,ok
181,2026-07-31 03:18:00+09:00,1,28.18487764989277,129.370060279977,OSM_ro88_0_45,5.899949567373316,1,0.0,ok
182,2026-08-01 00:35:00+09:00,1,28.18447486076975,129.397490137615,OSM_ro280_0_21,0.16150916918129818,1,0.0,ok
187,2026-07-01 01:12:00+09:00,1,28.16764698943405,129.3813150704761,OSM_ro278_0_5,0.10660710562607588,1,0.0,ok
